NAMESPACE     LAST SEEN   TYPE      REASON                            OBJECT                                        MESSAGE
bookstore     45m         Normal    Pulling                           pod/catalog-green-59f485966d-srdvf            Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715"
bookstore     45m         Normal    Pulled                            pod/catalog-green-59f485966d-srdvf            Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715" in 7.706s (7.706s including waiting). Image size: 410944984 bytes.
bookstore     45m         Normal    Created                           pod/catalog-green-59f485966d-srdvf            Created container catalog-service
bookstore     45m         Normal    Started                           pod/catalog-green-59f485966d-srdvf            Started container catalog-service
bookstore     40m         Warning   Unhealthy                         pod/catalog-green-59f485966d-srdvf            Readiness probe failed: Get "http://10.116.0.16:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
bookstore     19m         Warning   FailedToRetrieveImagePullSecret   pod/catalog-green-59f485966d-wshvp            Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     10m         Warning   Unhealthy                         pod/catalog-green-59f485966d-wshvp            Readiness probe failed: Get "http://10.116.2.36:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
bookstore     5m8s        Normal    Killing                           pod/catalog-green-59f485966d-wshvp            Stopping container catalog-service
bookstore     32m         Normal    Scheduled                         pod/catalog-green-59f485966d-z7fkq            Successfully assigned bookstore/catalog-green-59f485966d-z7fkq to gke-bookstore-cluster-node-pool-90feec76-6080
bookstore     22m         Warning   FailedToRetrieveImagePullSecret   pod/catalog-green-59f485966d-z7fkq            Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     32m         Normal    Pulling                           pod/catalog-green-59f485966d-z7fkq            Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715"
bookstore     32m         Normal    Pulled                            pod/catalog-green-59f485966d-z7fkq            Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715" in 11.067s (11.068s including waiting). Image size: 410944984 bytes.
bookstore     32m         Normal    Created                           pod/catalog-green-59f485966d-z7fkq            Created container catalog-service
bookstore     32m         Normal    Started                           pod/catalog-green-59f485966d-z7fkq            Started container catalog-service
bookstore     27m         Warning   Unhealthy                         pod/catalog-green-59f485966d-z7fkq            Readiness probe failed: Get "http://10.116.1.60:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
bookstore     45m         Normal    SuccessfulCreate                  replicaset/catalog-green-59f485966d           Created pod: catalog-green-59f485966d-srdvf
bookstore     40m         Normal    SuccessfulDelete                  replicaset/catalog-green-59f485966d           Deleted pod: catalog-green-59f485966d-srdvf
bookstore     33m         Normal    SuccessfulCreate                  replicaset/catalog-green-59f485966d           Created pod: catalog-green-59f485966d-94r4g
bookstore     32m         Normal    SuccessfulCreate                  replicaset/catalog-green-59f485966d           Created pod: catalog-green-59f485966d-z7fkq
bookstore     32m         Normal    SuccessfulCreate                  replicaset/catalog-green-59f485966d           Created pod: catalog-green-59f485966d-4kkhj
bookstore     32m         Normal    SuccessfulCreate                  replicaset/catalog-green-59f485966d           Created pod: catalog-green-59f485966d-q58nv
bookstore     32m         Normal    SuccessfulCreate                  replicaset/catalog-green-59f485966d           Created pod: catalog-green-59f485966d-ch488
bookstore     32m         Normal    SuccessfulCreate                  replicaset/catalog-green-59f485966d           Created pod: catalog-green-59f485966d-226d8
bookstore     32m         Normal    SuccessfulCreate                  replicaset/catalog-green-59f485966d           Created pod: catalog-green-59f485966d-jrsmk
bookstore     20m         Normal    SuccessfulDelete                  replicaset/catalog-green-59f485966d           Deleted pod: catalog-green-59f485966d-4kkhj
bookstore     20m         Normal    SuccessfulDelete                  replicaset/catalog-green-59f485966d           Deleted pod: catalog-green-59f485966d-ch488
bookstore     20m         Normal    SuccessfulDelete                  replicaset/catalog-green-59f485966d           Deleted pod: catalog-green-59f485966d-226d8
bookstore     20m         Normal    SuccessfulDelete                  replicaset/catalog-green-59f485966d           Deleted pod: catalog-green-59f485966d-z7fkq
bookstore     20m         Normal    SuccessfulDelete                  replicaset/catalog-green-59f485966d           Deleted pod: catalog-green-59f485966d-jrsmk
bookstore     20m         Normal    SuccessfulDelete                  replicaset/catalog-green-59f485966d           Deleted pod: catalog-green-59f485966d-q58nv
bookstore     20m         Normal    SuccessfulDelete                  replicaset/catalog-green-59f485966d           Deleted pod: catalog-green-59f485966d-94r4g
bookstore     16m         Normal    SuccessfulCreate                  replicaset/catalog-green-59f485966d           Created pod: catalog-green-59f485966d-qhjwz
bookstore     16m         Normal    SuccessfulCreate                  replicaset/catalog-green-59f485966d           Created pod: catalog-green-59f485966d-gqt2n
bookstore     6m49s       Normal    SuccessfulDelete                  replicaset/catalog-green-59f485966d           Deleted pod: catalog-green-59f485966d-gqt2n
bookstore     5m49s       Normal    SuccessfulDelete                  replicaset/catalog-green-59f485966d           Deleted pod: catalog-green-59f485966d-qhjwz
bookstore     5m8s        Normal    SuccessfulDelete                  replicaset/catalog-green-59f485966d           Deleted pod: catalog-green-59f485966d-wshvp
bookstore     16m         Warning   FailedScheduling                  pod/catalog-green-fd98dcbc8-j44tt             0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     11m         Normal    NotTriggerScaleUp                 pod/catalog-green-fd98dcbc8-j44tt             pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     13m         Warning   FailedScheduling                  pod/catalog-green-fd98dcbc8-j44tt             0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     6m48s       Warning   FailedScheduling                  pod/catalog-green-fd98dcbc8-j44tt             skip schedule deleting pod: bookstore/catalog-green-fd98dcbc8-j44tt
bookstore     16m         Warning   FailedScheduling                  pod/catalog-green-fd98dcbc8-pc528             0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     16m         Normal    NotTriggerScaleUp                 pod/catalog-green-fd98dcbc8-pc528             pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     13m         Warning   FailedScheduling                  pod/catalog-green-fd98dcbc8-pc528             0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     13m         Normal    Scheduled                         pod/catalog-green-fd98dcbc8-pc528             Successfully assigned bookstore/catalog-green-fd98dcbc8-pc528 to gke-bookstore-cluster-node-pool-90feec76-6080
bookstore     2m39s       Warning   FailedToRetrieveImagePullSecret   pod/catalog-green-fd98dcbc8-pc528             Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     13m         Normal    Pulling                           pod/catalog-green-fd98dcbc8-pc528             Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715"
bookstore     13m         Normal    Pulled                            pod/catalog-green-fd98dcbc8-pc528             Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/catalog-service:b1ed597582e93df181766f2f39e80a9d1fd35715" in 1.255s (1.255s including waiting). Image size: 410944984 bytes.
bookstore     13m         Normal    Created                           pod/catalog-green-fd98dcbc8-pc528             Created container catalog-service
bookstore     13m         Normal    Started                           pod/catalog-green-fd98dcbc8-pc528             Started container catalog-service
bookstore     8m7s        Warning   Unhealthy                         pod/catalog-green-fd98dcbc8-pc528             Readiness probe failed: Get "http://10.116.1.67:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
bookstore     19m         Warning   FailedScheduling                  pod/catalog-green-fd98dcbc8-pnthz             0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     9m16s       Normal    NotTriggerScaleUp                 pod/catalog-green-fd98dcbc8-pnthz             pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     14m         Warning   FailedScheduling                  pod/catalog-green-fd98dcbc8-pnthz             0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     17m         Normal    TriggeredScaleUp                  pod/catalog-green-fd98dcbc8-pnthz             pod triggered scale-up: [{https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp 3->4 (max: 5)}]
bookstore     17m         Warning   FailedScaleUp                     pod/catalog-green-fd98dcbc8-pnthz             Node scale up in zones ZONE_PLACEHOLDER associated with this pod failed: GCE quota exceeded. Pod is at risk of not being scheduled.
bookstore     6m48s       Warning   FailedScheduling                  pod/catalog-green-fd98dcbc8-pnthz             skip schedule deleting pod: bookstore/catalog-green-fd98dcbc8-pnthz
bookstore     16m         Warning   FailedScheduling                  pod/catalog-green-fd98dcbc8-w7gwd             0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     6m23s       Normal    NotTriggerScaleUp                 pod/catalog-green-fd98dcbc8-w7gwd             pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     13m         Warning   FailedScheduling                  pod/catalog-green-fd98dcbc8-w7gwd             0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     5m48s       Warning   FailedScheduling                  pod/catalog-green-fd98dcbc8-w7gwd             skip schedule deleting pod: bookstore/catalog-green-fd98dcbc8-w7gwd
bookstore     19m         Normal    SuccessfulCreate                  replicaset/catalog-green-fd98dcbc8            Created pod: catalog-green-fd98dcbc8-pnthz
bookstore     16m         Normal    SuccessfulCreate                  replicaset/catalog-green-fd98dcbc8            Created pod: catalog-green-fd98dcbc8-pc528
bookstore     16m         Normal    SuccessfulCreate                  replicaset/catalog-green-fd98dcbc8            Created pod: catalog-green-fd98dcbc8-j44tt
bookstore     16m         Normal    SuccessfulCreate                  replicaset/catalog-green-fd98dcbc8            Created pod: catalog-green-fd98dcbc8-w7gwd
bookstore     6m49s       Normal    SuccessfulDelete                  replicaset/catalog-green-fd98dcbc8            Deleted pod: catalog-green-fd98dcbc8-j44tt
bookstore     6m49s       Normal    SuccessfulDelete                  replicaset/catalog-green-fd98dcbc8            Deleted pod: catalog-green-fd98dcbc8-pnthz
bookstore     5m49s       Normal    SuccessfulDelete                  replicaset/catalog-green-fd98dcbc8            Deleted pod: catalog-green-fd98dcbc8-w7gwd
bookstore     33m         Normal    SuccessfulRescale                 horizontalpodautoscaler/catalog-green-hpa     New size: 2; reason: cpu resource utilization (percentage of request) above target
bookstore     5m49s       Normal    SuccessfulRescale                 horizontalpodautoscaler/catalog-green-hpa     New size: 1; reason: cpu resource utilization (percentage of request) below target
bookstore     16m         Normal    SuccessfulRescale                 horizontalpodautoscaler/catalog-green-hpa     New size: 4; reason: cpu resource utilization (percentage of request) above target
bookstore     32m         Normal    SuccessfulRescale                 horizontalpodautoscaler/catalog-green-hpa     New size: 8; reason: cpu resource utilization (percentage of request) above target
bookstore     16m         Normal    SuccessfulRescale                 horizontalpodautoscaler/catalog-green-hpa     New size: 5; reason: cpu resource utilization (percentage of request) above target
bookstore     6m49s       Normal    SuccessfulRescale                 horizontalpodautoscaler/catalog-green-hpa     New size: 3; reason: cpu resource utilization (percentage of request) below target
bookstore     16m         Normal    ScalingReplicaSet                 deployment/catalog-green                      Scaled up replica set catalog-green-59f485966d to 2 from 1
bookstore     5m49s       Normal    ScalingReplicaSet                 deployment/catalog-green                      Scaled down replica set catalog-green-59f485966d to 1 from 2
bookstore     32m         Normal    ScalingReplicaSet                 deployment/catalog-green                      Scaled up replica set catalog-green-59f485966d to 4 from 2
bookstore     32m         Normal    ScalingReplicaSet                 deployment/catalog-green                      Scaled up replica set catalog-green-59f485966d to 8 from 4
bookstore     20m         Normal    ScalingReplicaSet                 deployment/catalog-green                      Scaled down replica set catalog-green-59f485966d to 1 from 8
bookstore     19m         Normal    ScalingReplicaSet                 deployment/catalog-green                      Scaled up replica set catalog-green-fd98dcbc8 to 1
bookstore     16m         Normal    ScalingReplicaSet                 deployment/catalog-green                      Scaled up replica set catalog-green-fd98dcbc8 to 3 from 1
bookstore     16m         Normal    ScalingReplicaSet                 deployment/catalog-green                      Scaled up replica set catalog-green-fd98dcbc8 to 4 from 3
bookstore     16m         Normal    ScalingReplicaSet                 deployment/catalog-green                      Scaled up replica set catalog-green-59f485966d to 3 from 2
bookstore     6m49s       Normal    ScalingReplicaSet                 deployment/catalog-green                      Scaled down replica set catalog-green-fd98dcbc8 to 2 from 4
bookstore     6m49s       Normal    ScalingReplicaSet                 deployment/catalog-green                      Scaled down replica set catalog-green-59f485966d to 2 from 3
bookstore     5m8s        Normal    ScalingReplicaSet                 deployment/catalog-green                      (combined from similar events): Scaled down replica set catalog-green-59f485966d to 0 from 1
bookstore     5s          Warning   FailedToRetrieveImagePullSecret   pod/frontend-995659f44-w6szz                  Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     34m         Normal    Killing                           pod/postgres-0                                Stopping container postgres
bookstore     34m         Warning   FailedScheduling                  pod/postgres-0                                0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     28m         Normal    TriggeredScaleUp                  pod/postgres-0                                pod triggered scale-up: [{https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp 3->4 (max: 5)}]
bookstore     27m         Normal    NotTriggerScaleUp                 pod/postgres-0                                pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     27m         Warning   FailedScaleUp                     pod/postgres-0                                Node scale up in zones ZONE_PLACEHOLDER associated with this pod failed: GCE quota exceeded. Pod is at risk of not being scheduled.
bookstore     28m         Warning   FailedScheduling                  pod/postgres-0                                0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     23m         Warning   FailedScheduling                  pod/postgres-0                                skip schedule deleting pod: bookstore/postgres-0
bookstore     23m         Warning   FailedScheduling                  pod/postgres-0                                0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     23m         Normal    NotTriggerScaleUp                 pod/postgres-0                                pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     20m         Warning   FailedScheduling                  pod/postgres-0                                0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     20m         Normal    Scheduled                         pod/postgres-0                                Successfully assigned bookstore/postgres-0 to gke-bookstore-cluster-node-pool-90feec76-lzt9
bookstore     20m         Normal    SuccessfulAttachVolume            pod/postgres-0                                AttachVolume.Attach succeeded for volume "pvc-ac26eb91-b6a8-49c1-bed3-c4d6eebbe693"
bookstore     20m         Normal    Pulling                           pod/postgres-0                                Pulling image "postgres:14"
bookstore     20m         Normal    Pulled                            pod/postgres-0                                Successfully pulled image "postgres:14" in 8.9s (8.9s including waiting). Image size: 152104533 bytes.
bookstore     20m         Normal    Created                           pod/postgres-0                                Created container postgres
bookstore     20m         Normal    Started                           pod/postgres-0                                Started container postgres
bookstore     34m         Normal    SuccessfulCreate                  statefulset/postgres                          create Pod postgres-0 in StatefulSet postgres successful
bookstore     34m         Normal    SuccessfulDelete                  statefulset/postgres                          delete Pod postgres-0 in StatefulSet postgres successful
bookstore     23m         Normal    SuccessfulCreate                  statefulset/postgres                          create Pod postgres-0 in StatefulSet postgres successful
kube-system   17m         Normal    ScaledUpGroup                     configmap/cluster-autoscaler-status           Scale-up: setting group https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp size to 4 instead of 3 (max: 5)
kube-system   17m         Normal    ScaledUpGroup                     configmap/cluster-autoscaler-status           Scale-up: group https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp size set to 4 instead of 3 (max: 5)
kube-system   33m         Warning   ScaleUpFailed                     configmap/cluster-autoscaler-status           Failed adding 1 nodes to group https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp due to OutOfResource.QUOTA_EXCEEDED; source errors: Instance 'gke-bookstore-cluster-node-pool-90feec76-79s4' creation failed: Quota 'SSD_TOTAL_GB' exceeded.  Limit: 400.0 in region europe-north2.
kube-system   27m         Warning   ScaleUpFailed                     configmap/cluster-autoscaler-status           Failed adding 1 nodes to group https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp due to OutOfResource.QUOTA_EXCEEDED; source errors: Instance 'gke-bookstore-cluster-node-pool-90feec76-lxx5' creation failed: Quota 'SSD_TOTAL_GB' exceeded.  Limit: 400.0 in region europe-north2.
kube-system   17m         Warning   ScaleUpFailed                     configmap/cluster-autoscaler-status           Failed adding 1 nodes to group https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp due to OutOfResource.QUOTA_EXCEEDED; source errors: Instance 'gke-bookstore-cluster-node-pool-90feec76-9zl6' creation failed: Quota 'SSD_TOTAL_GB' exceeded.  Limit: 400.0 in region europe-north2.
kube-system   29m         Normal    LeaderElection                    configmap/cluster-kubestore                   gke-f121512525da42b9ba1f-47b0-4f31-vm became leader
kube-system   29m         Normal    LeaderElection                    lease/cluster-kubestore                       gke-f121512525da42b9ba1f-47b0-4f31-vm became leader
kube-system   44m         Warning   Unhealthy                         pod/metrics-server-v1.31.0-5ffb9dff85-jjgc5   Readiness probe failed: Get "https://10.116.2.6:10250/readyz": net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
kube-system   44m         Warning   Unhealthy                         pod/metrics-server-v1.31.0-5ffb9dff85-jjgc5   Liveness probe failed: Get "https://10.116.2.6:10250/livez": net/http: request canceled (Client.Timeout exceeded while awaiting headers)
